Molecule,Form,Brand,Manufacturer,2009_Sales,2010_Sales,2011_Sales,2012_Sales,2013_Sales,2014_Sales,2015_Sales
,T OTHER TOPICALS,OTHER,BAXTER BIOSCIENCE,"$6,362,250 ","$10,867,908 ","$10,684,829 ","$9,267,643 ","$8,823,627 ","$9,024,434 ","$2,156,909 "
,T OTHER TOPICALS,OTHER,J&J MEDICAL,,"$2,626 ","$21,919 ","$20,441,018 ","$20,441,676 ","$18,560,601 ","$4,567,898 "
,T OTHER TOPICALS,OTHER,SANOFI AVENTIS PHR,,,,"$27,000 ","$303,842 ","$186,634 ",
,Y ALL OTHERS,BRANDED GENERIC,PARI RESP EQUIP,"$285,921 ","$347,909 ","$337,534 ","$136,509 ","$86,682 ","$5,504 ","$1,557 "
,Y ALL OTHERS,BRANDED GENERIC,QUIDEL,"$1,988,776 ","$2,328,216 ","$2,647,558 ","$2,656,319 ","$2,635,391 ","$2,428,228 ","$1,196,032 "
,Y ALL OTHERS,OTHER,ABBOTT DIABTC CARE,"$5,945,859 ","$9,331,404 ","$9,112,678 ","$8,279,858 ","$7,503,404 ","$8,036,019 ","$1,890,652 "
,Y ALL OTHERS,OTHER,AMIRA MEDICAL,$93 ,,,,,,
,Y ALL OTHERS,OTHER,ARKRAY USA,,,,,$505 ,$518 ,
,Y ALL OTHERS,OTHER,BAYER DIAGNOSTIC D,"$4,151,996 ","$5,135,202 ","$4,279,152 ","$4,210,629 ","$3,440,329 ","$3,078,986 ","$809,938 "
,Y ALL OTHERS,OTHER,BD VACUTAINER SYST,"$102,912 ","$95,620 ","$64,705 ","$51,197 ","$29,251 ","$7,946 ",
,Y ALL OTHERS,OTHER,BECTON-DICKINSON,"$72,433,602 ","$120,638,987 ","$125,004,495 ","$135,053,486 ","$147,469,896 ","$228,009,546 ","$66,790,242 "
,Y ALL OTHERS,OTHER,CAN-AM SURGICAL CO,"$270,175 ","$399,175 ","$383,597 ","$417,069 ","$346,022 ","$324,109 ","$52,082 "
,Y ALL OTHERS,OTHER,CHRONIMED INC,"$77,399 ","$93,285 ","$72,862 ","$30,068 ","$30,431 ","$26,146 ","$7,841 "
,Y ALL OTHERS,OTHER,COVIDIEN,"$125,115 ","$102,930 ","$91,653 ","$81,159 ","$57,192 ","$44,552 ","$12,623 "
,Y ALL OTHERS,OTHER,EXEL INTERNATL INC,$330 ,$167 ,$48 ,$323 ,"$2,177 ",$169 ,
,Y ALL OTHERS,OTHER,"FRESENIUS USA, INC","$5,820 ","$9,709 ","$14,009 ","$4,078 ","$5,839 ","$4,232 ",
,Y ALL OTHERS,OTHER,GAINOR MEDICAL USA,$531 ,$312 ,$502 ,$332 ,$219 ,,$35 
,Y ALL OTHERS,OTHER,HYPOGUARD,,,,$691 ,,,
,Y ALL OTHERS,OTHER,LIFE SCAN INC.,"$10,036,460 ","$14,695,321 ","$11,822,000 ","$8,933,581 ","$6,355,285 ","$5,099,489 ","$1,304,288 "
,Y ALL OTHERS,OTHER,MAJOR PHARM,"$1,207 ","$1,499 ","$2,071 ","$1,957 ",,,
,Y ALL OTHERS,OTHER,MCKESSON MEDICAL S,"$1,039 ","$2,723 ","$3,843 ",$42 ,$140 ,$909 ,$169 
,Y ALL OTHERS,OTHER,MOLNLYCKE HLTH CAR,,,,"$26,986 ","$111,276 ","$90,292 ","$18,876 "
,Y ALL OTHERS,OTHER,MONAGHAN MEDICAL C,"$1,165,258 ","$1,618,977 ","$1,497,186 ","$982,052 ","$1,102,974 ","$992,028 ","$162,119 "
,Y ALL OTHERS,OTHER,NIPRO DIAGNOSTICS,"$1,903 ",$447 ,$654 ,$723 ,"$3,190 ","$45,232 ","$11,422 "
,Y ALL OTHERS,OTHER,NOVO NORDISK,"$7,411,080 ","$16,454,935 ","$17,317,445 ","$15,184,810 ","$14,888,906 ","$13,213,466 ","$3,498,798 "
,Y ALL OTHERS,OTHER,OWENS MUMFORD,"$820,029 ","$1,467,662 ","$1,866,914 ","$2,050,739 ","$2,260,842 ","$2,322,055 ","$601,022 "
,Y ALL OTHERS,OTHER,PALCO LABORATORIES,"$11,104 ","$101,336 ","$112,799 ","$71,480 ","$33,591 ","$76,435 ","$15,084 "
,Y ALL OTHERS,OTHER,PRIVATE LABEL,"$1,084,455 ","$1,523,853 ","$1,101,496 ","$879,752 ","$653,782 ","$399,443 ","$88,115 "
,Y ALL OTHERS,OTHER,RESPIRONICS INC,"$1,923,133 ","$3,670,220 ","$4,963,047 ","$7,438,842 ","$10,438,049 ","$9,019,093 ","$2,803,573 "
,Y ALL OTHERS,OTHER,ROCHE DIAG CORP,"$21,457,234 ","$28,687,595 ","$25,069,524 ","$24,538,790 ","$20,671,046 ","$20,453,910 ","$5,467,555 "
,Y ALL OTHERS,OTHER,SANVITA,"$15,731 ","$18,794 ","$6,674 ",$259 ,,,
,Y ALL OTHERS,OTHER,SMITHS MEDICAL,"$65,653 ","$57,000 ","$53,181 ","$65,824 ","$54,949 ","$55,351 ",
,Y ALL OTHERS,OTHER,SUPERGEN INC,"$69,124 ","$141,892 ","$64,188 ",,,,
,Y ALL OTHERS,OTHER,ULSTER SCIENTIFIC,"$15,946 ","$10,546 ","$8,672 ","$7,469 ","$22,715 ","$2,568 ",$56 
,Y ALL OTHERS,OTHER,ULTI-MED INTL,"$171,612 ","$230,642 ","$295,541 ","$219,703 ","$213,420 ","$236,689 ","$63,947 "
1-PROPANOL,D DERMATOLOGICALS,OTHER,PRIVATE LABEL,"$3,093,943 ","$2,133,230 ","$837,895 ","$1,016,693 ","$994,266 ","$961,957 ","$234,935 "
3-METHYLSALICYLIC ACID!CAPSAICIN!MENTHOL,D DERMATOLOGICALS,OTHER,NNODUM CORPORATION,"$53,913 ","$59,281 ","$60,949 ","$40,710 ","$38,618 ","$35,518 ","$6,691 "
4-HYDROXYBUTYRIC ACID,O ORALS,BRAND,JAZZ PHARMA PLC,,,,,,$562 ,
7-KETO HYDROANDROSTERONE,Y ALL OTHERS,GENERIC,HAWKINS CHEM INC.,"$13,976 ",,,,,,
7-KETO HYDROANDROSTERONE,Y ALL OTHERS,GENERIC,LETCO MED,"$15,116 ","$42,357 ","$37,992 ","$62,192 ","$36,472 ","$44,827 ","$11,524 "
7-KETO HYDROANDROSTERONE,Y ALL OTHERS,GENERIC,MEDISCA INC,,,,,"$4,043 ",$967 ,$421 
8-QUINOLINOL,D DERMATOLOGICALS,OTHER,DAIRY ASSOCIATION,"$288,755 ","$386,476 ","$336,072 ","$304,694 ","$362,309 ","$19,916 ",$12 
8-QUINOLINOL,D DERMATOLOGICALS,OTHER,DARTMOUTH PHARM,$339 ,"$1,064 ",$849 ,$745 ,$499 ,$517 ,$52 
8-QUINOLINOL,D DERMATOLOGICALS,OTHER,SUMMIT LAB,"$190,083 ","$309,285 ","$287,262 ","$293,275 ","$291,690 ","$296,402 ","$80,684 "
8-QUINOLINOL!ACETIC ACID,V VAGINALS,BRANDED GENERIC,BLANSETT,"$111,824 ","$100,610 ","$16,387 ","$32,487 ","$38,216 ","$58,820 ","$36,237 "
8-QUINOLINOL!ACETIC ACID,V VAGINALS,BRANDED GENERIC,WOMENS CHOICE,"$26,401 ","$39,912 ","$56,027 ","$54,795 ","$55,446 ","$378,291 ","$106,558 "
8-QUINOLINOL!ACETIC ACID!BORIC ACID!GLYCEROL!RICINOLEIC ACID,V VAGINALS,GENERIC,HOPE PHARMA,"$124,429 ","$173,196 ","$157,012 ","$3,189 ",,,
8-QUINOLINOL!BENZOCAINE!ICTHAMMOL!MENTHOL!ZINC,D DERMATOLOGICALS,OTHER,MEDICONE,,,$9 ,$117 ,$93 ,$27 ,
8-QUINOLINOL!BORIC ACID,V VAGINALS,OTHER,COOPERSURGICAL INC,,,,"$1,383 ","$2,795 ","$4,297 ","$2,555 "
8-QUINOLINOL!BORIC ACID!ZINC,D DERMATOLOGICALS,OTHER,BRISTOL-MYERS,"$368,597 ","$543,660 ","$591,531 ","$616,045 ","$537,230 ","$513,164 ","$132,597 "
A>-ALANINE,Y ALL OTHERS,GENERIC,LETCO MED,,,,,"$7,917 ",,
ABACAVIR,O ORALS,BRAND,VIIV HEALTHCARE,"$63,885,112 ","$95,038,425 ","$93,909,146 ","$62,758,062 ","$22,986,378 ","$14,293,102 ","$2,683,356 "
ABACAVIR,O ORALS,GENERIC,AMERICAN HLTH PKG,,,,,"$359,178 ","$553,812 ","$137,881 "
ABACAVIR,O ORALS,GENERIC,APOTEX CORP,,,,"$8,503 ","$7,643,945 ","$5,546,522 ","$1,159,631 "
ABACAVIR,O ORALS,GENERIC,A-S MEDICATION,,,,"$2,611 ",$522 ,,
ABACAVIR,O ORALS,GENERIC,AUROBINDO PHARM,,,,"$23,033 ","$6,780,171 ","$7,158,213 ","$1,739,031 "
ABACAVIR,O ORALS,GENERIC,CAMBER PHARM,,,,,,"$972,623 ","$392,876 "
ABACAVIR,O ORALS,GENERIC,MYLAN,,,,"$25,439,637 ","$28,183,443 ","$21,376,819 ","$4,244,602 "
ABACAVIR,O ORALS,GENERIC,MYLAN INSTITUTION,,,,"$392,264 ","$807,489 ","$880,668 ","$230,627 "
ABACAVIR!DOLUTEGRAVIR!LAMIVUDINE,O ORALS,BRANDED GENERIC,VIIV HEALTHCARE,,,,,,"$62,419,324 ","$122,636,813 "
ABACAVIR!LAMIVUDINE,O ORALS,BRAND,VIIV HEALTHCARE,"$283,315,064 ","$455,254,889 ","$484,648,039 ","$507,672,605 ","$538,735,924 ","$616,226,544 ","$146,969,705 "
ABACAVIR!LAMIVUDINE!ZIDOVUDINE,O ORALS,BRAND,VIIV HEALTHCARE,"$137,882,705 ","$175,726,314 ","$142,511,271 ","$123,196,546 ","$102,326,944 ","$28,224,259 ","$4,485,777 "
ABACAVIR!LAMIVUDINE!ZIDOVUDINE,O ORALS,GENERIC,LUPIN PHARMA,,,,,"$1,911,888 ","$49,463,469 ","$10,985,688 "
ABATACEPT,I INJECTABLES,BRAND,BRISTOL-M SQ US PH,"$337,027,673 ","$561,105,611 ","$638,522,876 ","$806,302,962 ","$954,490,972 ","$1,102,555,325 ","$299,867,480 "
ABCIXIMAB,I INJECTABLES,BRAND,LILLY,"$53,277,106 ","$74,034,718 ","$55,309,060 ","$46,680,818 ","$43,354,313 ","$37,188,088 ","$9,474,937 "
ABIRATERONE ACETATE,O ORALS,BRAND,JANSSEN PHARM,,,"$179,671,778 ","$470,442,607 ","$793,503,858 ","$1,044,673,460 ","$272,557,362 "
ACACIA,O ORALS,OTHER,NATIONAL NUTRITION,,,,,"$5,255 ","$8,555 ","$3,019 "
ACACIA,Y ALL OTHERS,GENERIC,MEDISCA INC,,,,$325 ,$295 ,$70 ,$40 
ACAMPROSATE,O ORALS,BRAND,ACTAVIS,"$18,433,545 ","$25,455,638 ","$24,022,631 ","$21,064,524 ","$15,692,012 ","$2,091,404 ","$160,806 "
ACAMPROSATE,O ORALS,GENERIC,GLENMARK PHARMA,,,,,"$6,266,905 ","$11,752,983 ","$1,804,893 "
ACAMPROSATE,O ORALS,GENERIC,INWOOD LABS,,,,,"$1,226,327 ","$1,809,456 ","$1,003 "
ACAMPROSATE,O ORALS,GENERIC,MYLAN,,,,,,"$1,106,129 ","$1,304,839 "
ACAMPROSATE,O ORALS,GENERIC,MYLAN INSTITUTION,,,,,,"$25,210 ","$83,992 "
ACARBOSE,O ORALS,BRAND,BAYER HEALTHCARE P,"$1,441,587 ","$1,143,065 ","$613,247 ","$399,294 ","$240,515 ","$163,849 ","$37,364 "
ACARBOSE,O ORALS,GENERIC,ACTAVIS,"$9,822,833 ","$13,226,427 ","$8,411,337 ","$6,989,496 ","$3,117,756 ","$1,693,775 ","$395,657 "
ACARBOSE,O ORALS,GENERIC,ALVOGEN INC,,,,,"$118,962 ","$325,075 ","$28,827 "
ACARBOSE,O ORALS,GENERIC,AV KARE INC,,,,,,"$11,703 ","$8,302 "
ACARBOSE,O ORALS,GENERIC,GLOBAL PHARM CORP,,"$1,870,384 ","$3,798,526 ","$2,859,986 ","$3,124,277 ","$476,248 ","$25,516 "
ACARBOSE,O ORALS,GENERIC,HERITAGE PHARMA,,,,"$203,358 ","$2,564,799 ","$2,000,338 ","$475,434 "
ACARBOSE,O ORALS,GENERIC,LIBERTAS PHARMA,,,,,"$73,900 ","$59,838 ",
ACARBOSE,O ORALS,GENERIC,MYLAN,,,"$982,247 ","$3,736,414 ","$5,574,148 ","$4,955,232 ","$1,169,875 "
ACARBOSE,O ORALS,GENERIC,ROXANE,"$4,982,883 ","$6,579,686 ","$6,161,451 ","$3,662,439 ","$2,820,524 ","$4,089,767 ","$775,631 "
ACARBOSE,O ORALS,GENERIC,STRIDES PHARMA,,,,,,"$91,997 ","$38,290 "
ACARBOSE,O ORALS,GENERIC,VIRTUS PHARMA,,,,,,"$166,479 ","$126,275 "
ACEBUTOLOL,O ORALS,BRAND,PROMIUS PHARMA,"$1,142,874 ","$1,402,048 ","$862,594 ","$620,944 ","$668,903 ","$561,098 ","$118,817 "
ACEBUTOLOL,O ORALS,GENERIC,ACTAVIS,$15 ,,,,,,
ACEBUTOLOL,O ORALS,GENERIC,AMNEAL PHARM,"$1,221,655 ","$2,006,247 ","$2,438,713 ","$2,434,588 ","$2,144,684 ","$1,874,577 ","$453,037 "
ACEBUTOLOL,O ORALS,GENERIC,AV KARE INC,,,"$22,398 ","$1,982 ",$762 ,,
ACEBUTOLOL,O ORALS,GENERIC,AVPAK,,,"$3,739 ","$26,264 ","$26,596 ","$28,418 ","$9,550 "
ACEBUTOLOL,O ORALS,GENERIC,MYLAN,"$2,193,986 ","$2,893,666 ","$2,216,981 ","$1,831,236 ","$2,033,637 ","$2,104,059 ","$601,079 "
ACEBUTOLOL,O ORALS,GENERIC,PAR PHARM,"$91,348 ","$3,919 ",,$11 ,,,
ACEMANNAN!ALLANTOIN,D DERMATOLOGICALS,BRANDED GENERIC,MCR/AMERICAN PHARM,"$8,332 ","$9,419 ","$4,996 ","$1,118 ",,,
ACESULFAME,Y ALL OTHERS,GENERIC,MEDISCA INC,,,,,,$131 ,$262 
ACETAMINOPHEN,I INJECTABLES,BRANDED GENERIC,CADENCE PHARM,,,"$12,184,261 ","$53,056,262 ","$113,760,966 ","$251,455,597 ","$65,258,960 "
ACETAMINOPHEN,O ORALS,OTHER,ACCUDIAL PHARMA,,,,,$973 ,$33 ,
ACETAMINOPHEN,O ORALS,OTHER,ACELLA PHARM,"$12,679 ",,,,,,
ACETAMINOPHEN,O ORALS,OTHER,ACTAVIS,"$188,743 ","$457,046 ","$282,750 ",$502 ,$1 ,,
ACETAMINOPHEN,O ORALS,OTHER,ADVANCE PHARM INC,"$77,260 ","$123,980 ","$126,768 ","$126,171 ","$113,807 ","$74,744 ","$17,108 "
ACETAMINOPHEN,O ORALS,OTHER,ALTAIRE PHARM,"$9,818 ","$51,676 ","$71,020 ","$13,394 ",,,
ACETAMINOPHEN,O ORALS,OTHER,AMERICAN HLTH PKG,,,,,,"$1,584 ","$2,037 "
ACETAMINOPHEN,O ORALS,OTHER,AMNEAL PHARM,"$692,226 ","$322,614 ",$659 ,$18 ,$128 ,$164 ,$26 
ACETAMINOPHEN,O ORALS,OTHER,A-S MEDICATION,"$17,030 ","$22,052 ","$17,467 ","$20,802 ","$36,301 ","$69,405 ","$21,387 "
ACETAMINOPHEN,O ORALS,OTHER,BALLAY PHARM,"$1,094,780 ","$2,371,441 ","$2,322,379 ","$702,700 ","$86,939 ","$11,319 ",$2 
ACETAMINOPHEN,O ORALS,OTHER,CHAIN DRUG,,$152 ,"$44,196 ","$53,065 ","$50,885 ","$33,405 ","$8,758 "
ACETAMINOPHEN,O ORALS,OTHER,CONCORD LABS,"$2,128 ",$984 ,"$1,394 ","$2,373 ","$2,098 ","$1,514 ",
ACETAMINOPHEN,O ORALS,OTHER,CONTRACT PHARM,"$7,939 ","$11,740 ",$1 ,,,,
ACETAMINOPHEN,O ORALS,OTHER,CYPRESS PHARM,"$67,245 ","$108,712 ","$128,605 ","$147,778 ","$61,577 ","$8,135 ","$3,039 "
ACETAMINOPHEN,O ORALS,OTHER,DOVER PHARM,"$8,055 ","$8,923 ","$12,087 ","$12,824 ","$15,107 ","$11,607 ","$1,410 "
ACETAMINOPHEN,O ORALS,OTHER,EDWARDS PHARM.,$795 ,$558 ,$410 ,$392 ,$228 ,,
ACETAMINOPHEN,O ORALS,OTHER,GERI-CARE PHARM,"$242,559 ","$588,957 ","$718,338 ","$707,519 ","$704,025 ","$679,527 ","$195,335 "
ACETAMINOPHEN,O ORALS,OTHER,GSK CONSUMER HLTH,"$29,706 ","$45,806 ","$58,184 ","$57,740 ","$71,155 ","$25,120 ","$6,940 "
ACETAMINOPHEN,O ORALS,OTHER,HOSPAK UNIT DOSE,"$4,052 ","$4,267 ",,,,,
ACETAMINOPHEN,O ORALS,OTHER,J.B. LABS,$212 ,,,,,,
ACETAMINOPHEN,O ORALS,OTHER,LIBERTY PHARM,"$16,077 ","$20,269 ","$40,095 ","$14,537 ","$29,608 ","$29,646 ","$4,145 "
ACETAMINOPHEN,O ORALS,OTHER,MAGNO HUMPHRIES,"$1,121 ","$1,385 ","$1,214 ","$1,167 ",$273 ,,
ACETAMINOPHEN,O ORALS,OTHER,MAJOR PHARM,"$5,075,969 ","$10,394,960 ","$12,298,389 ","$12,044,849 ","$10,604,565 ","$10,507,500 ","$2,979,103 "
ACETAMINOPHEN,O ORALS,OTHER,MARLEX PHARM,"$716,348 ","$515,874 ","$501,048 ","$120,833 ","$144,809 ","$141,040 ","$41,501 "
ACETAMINOPHEN,O ORALS,OTHER,MCKESSON PKG SERV,"$108,307 ","$393,345 ","$613,574 ","$425,241 ","$518,733 ","$481,190 ","$111,265 "
ACETAMINOPHEN,O ORALS,OTHER,MCNEIL CONS & SPEC,"$314,850,496 ","$240,081,648 ","$152,346,729 ","$128,876,724 ","$173,892,144 ","$208,805,515 ","$62,619,189 "
ACETAMINOPHEN,O ORALS,OTHER,MEDIQUE PRODS,"$568,216 ","$797,676 ","$885,725 ","$845,911 ","$783,344 ","$923,773 ","$258,988 "
ACETAMINOPHEN,O ORALS,OTHER,MEDTECH LABS,,,$10 ,$412 ,"$7,445 ","$9,484 ","$1,482 "
ACETAMINOPHEN,O ORALS,OTHER,MFR NOT STATED,"$34,264 ","$21,649 ","$11,506 ","$5,062 ","$6,265 ","$4,289 ","$1,003 "
ACETAMINOPHEN,O ORALS,OTHER,MYLAN INSTITUTION,"$93,135 ","$101,309 ",$361 ,$600 ,$289 ,,
ACETAMINOPHEN,O ORALS,OTHER,NOVARTIS CONS HLTH,$34 ,"$3,527,167 ","$4,464,711 ","$288,448 ",$362 ,$390 ,$165 
ACETAMINOPHEN,O ORALS,OTHER,NUCARE PHARM,,,,"$1,609 ",,,
ACETAMINOPHEN,O ORALS,OTHER,OHM LABS INC,"$14,366 ","$35,299 ","$37,797 ","$146,153 ","$190,991 ","$140,475 ","$33,902 "
ACETAMINOPHEN,O ORALS,OTHER,PADDOCK LABS INC,$10 ,,,,,,
ACETAMINOPHEN,O ORALS,OTHER,PD-RX PHARM,"$36,115 ","$28,933 ","$33,306 ","$109,997 ","$90,971 ","$64,395 ","$25,241 "
ACETAMINOPHEN,O ORALS,OTHER,PHARBEST PHARMA,"$14,849 ","$27,295 ","$27,006 ","$37,333 ","$45,414 ","$93,550 ","$31,307 "
ACETAMINOPHEN,O ORALS,OTHER,PHARMACEUT ASSOC,"$1,604,844 ","$2,267,589 ","$2,406,456 ","$2,184,923 ","$2,641,745 ","$3,938,372 ","$1,050,938 "
ACETAMINOPHEN,O ORALS,OTHER,PHARMACEUTCL ASSOC,"$64,886 ","$106,110 ","$152,461 ","$57,287 ",,,
ACETAMINOPHEN,O ORALS,OTHER,PLUS PHARMA,"$131,863 ","$312,269 ","$419,328 ","$397,574 ","$398,659 ","$384,530 ","$104,059 "
ACETAMINOPHEN,O ORALS,OTHER,PRECISION DOSE,"$506,813 ","$1,152,209 ","$1,447,457 ","$2,466,010 ","$3,059,434 ","$2,961,662 ","$915,661 "
ACETAMINOPHEN,O ORALS,OTHER,PRESTIGE BRANDS,"$65,669 ","$107,227 ","$493,914 ","$871,612 ","$2,026,512 ","$969,519 ","$222,688 "
ACETAMINOPHEN,O ORALS,OTHER,PRIVATE LABEL,"$36,040,735 ","$71,921,106 ","$74,728,618 ","$48,933,094 ","$46,772,856 ","$43,067,370 ","$13,628,567 "
ACETAMINOPHEN,O ORALS,OTHER,PROCTER & G OTC,"$92,548 ","$17,317 ",,,,,
