Molecule,Form,Type,Product,Strength,2009_Sales,2010_Sales,2011_Sales,2012_Sales,2013_Sales,2014_Sales,2015_Sales
ACETAMINOPHEN,O ORALS,OTHER,ACCUDIAL ACETAMINOPHEN,160MG/5ML,,,,,$973 ,$33 ,
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,100MG/ML,"$2,888,921 ","$8,464,513 ","$5,304,890 ","$1,335,308 ","$501,746 ","$394,049 ","$112,997 "
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,120MG/5ML,$203 ,$637 ,"$1,399 ",,,,
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,160MG,"$1,378,047 ","$2,969,916 ","$3,840,119 ","$3,270,598 ","$2,636,902 ","$1,336,956 ","$485,949 "
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,160MG JR,"$424,530 ","$830,368 ","$1,295,065 ","$17,179 ","$4,742 ",,
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,160MG/5ML,"$3,953,424 ","$8,989,677 ","$9,903,220 ","$13,129,783 ","$16,401,487 ","$17,734,999 ","$5,866,649 "
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,167MG/5ML,$576 ,"$7,603 ","$28,804 ","$41,423 ","$44,373 ","$68,152 ","$20,280 "
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,300MG,"$231,917 ","$441,121 ","$545,654 ","$165,925 ","$193,426 ","$92,692 ","$28,237 "
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,325MG,"$3,082,960 ","$5,922,293 ","$5,723,580 ","$5,258,444 ","$5,447,467 ","$5,332,714 ","$1,457,553 "
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,325MG/10.15ML,,,,,,"$333,680 ","$162,217 "
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,500MG,"$17,523,628 ","$44,395,607 ","$51,960,423 ","$31,822,132 ","$26,004,422 ","$24,944,777 ","$7,577,609 "
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,500MG/15ML,"$16,788 ","$334,627 ","$566,498 ","$14,664 ",,$46 ,$72 
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,650MG,"$3,570,138 ","$8,287,386 ","$5,918,733 ","$9,145,163 ","$11,142,306 ","$9,680,318 ","$2,764,026 "
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,80MG,"$493,257 ","$1,165,186 ","$1,478,153 ","$1,039,011 ","$989,332 ","$758,408 ","$265,821 "
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,80MG/0.8ML,"$384,003 ","$1,671,435 ","$1,925,992 ","$449,802 ",$668 ,$8 ,
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,80MG/2.5ML,,,,,"$85,840 ","$56,265 ","$22,770 "
ACETAMINOPHEN,O ORALS,OTHER,ACETAMINOPHEN,80MG/5ML,"$1,511,965 ","$5,190,072 ","$3,843,185 ","$202,731 ","$125,935 ","$88,194 ","$16,464 "
ACETAMINOPHEN,O ORALS,OTHER,AMINOFEN,324MG,"$6,107 ","$8,923 ","$12,087 ","$12,824 ","$15,107 ","$11,616 ","$1,410 "
ACETAMINOPHEN,O ORALS,OTHER,ANACIN ASP/FREE,MAX/STR,"$49,096 ","$91,939 ","$86,721 ","$79,988 ","$30,927 ",$72 ,
ACETAMINOPHEN,O ORALS,OTHER,APAP 500,500MG/5ML,"$52,031 ","$108,712 ","$128,605 ","$147,778 ","$61,577 ","$8,135 ","$3,039 "
ACETAMINOPHEN,O ORALS,OTHER,APAP PLUS,500MG,$710 ,,,,,,
ACETAMINOPHEN,O ORALS,OTHER,APAP X,500MG,$756 ,"$1,385 ","$1,214 ","$1,167 ",$273 ,,
ACETAMINOPHEN,O ORALS,OTHER,CHILDRENS MAPAP,80MG,"$13,646 ","$44,069 ","$72,040 ","$76,366 ","$79,032 ","$66,594 ","$19,200 "
ACETAMINOPHEN,O ORALS,OTHER,JUNIOR MAPAP,160MG,"$18,550 ","$35,582 ","$72,441 ","$83,468 ","$83,952 ","$72,074 ","$20,596 "
ACETAMINOPHEN,O ORALS,OTHER,LITTLE FEVERS,160MG/5ML,,,$10 ,$412 ,"$7,445 ","$9,484 ","$1,482 "
ACETAMINOPHEN,O ORALS,OTHER,LITTLE FEVERS,80MG/ML,,"$674,086 ","$445,428 ","$5,959 ",,,
ACETAMINOPHEN,O ORALS,OTHER,LITTLE REMEDIES FVR,160MG/5ML,,,,,"$526,567 ","$629,705 ","$217,146 "
ACETAMINOPHEN,O ORALS,OTHER,MAPAP ARTHRITIS PAIN,650MG,"$284,332 ","$710,166 ","$1,198,946 ","$1,468,484 ","$1,567,055 ","$1,582,238 ","$424,302 "
ACETAMINOPHEN,O ORALS,OTHER,NORTEMP,100MG/ML,"$186,869 ","$766,759 ","$693,285 ","$194,941 ","$83,590 ","$1,416 ",
ACETAMINOPHEN,O ORALS,OTHER,NORTEMP,160MG/5ML,"$650,880 ","$1,604,682 ","$1,629,094 ","$507,759 ","$3,349 ","$9,903 ",$2 
ACETAMINOPHEN,O ORALS,OTHER,PAIN RELIEF,500MG,"$201,558 ","$447,107 ","$265,953 ","$367,007 ","$372,643 ","$90,159 ","$12,978 "
ACETAMINOPHEN,O ORALS,OTHER,PAIN RELIEF,X-STR,"$235,490 ","$700,278 ","$954,872 ","$834,302 ","$523,609 ","$929,027 ","$299,435 "
ACETAMINOPHEN,O ORALS,OTHER,PANADOL EXTRA STRN,500MG,"$21,803 ","$45,806 ","$58,184 ","$57,740 ","$71,155 ","$25,120 ","$6,940 "
ACETAMINOPHEN,O ORALS,OTHER,PEDIACARE FEVER,160MG/5ML,,$36 ,"$49,520 ","$789,123 ","$1,469,018 ","$339,742 ","$5,606 "
ACETAMINOPHEN,O ORALS,OTHER,PEDIACARE FEVER,80MG/0.8ML,,"$15,252 ","$357,673 ","$2,501 ",,,
ACETAMINOPHEN,O ORALS,OTHER,PEDIAPHEN,100MG/ML,$883 ,,,,,,
ACETAMINOPHEN,O ORALS,OTHER,PHARBETOL,325MG,,,"$1,600 ","$13,946 ","$16,743 ","$30,509 ","$8,640 "
ACETAMINOPHEN,O ORALS,OTHER,PHARBETOL,500MG,"$11,012 ","$27,295 ","$25,406 ","$23,387 ","$28,710 ","$63,125 ","$22,770 "
ACETAMINOPHEN,O ORALS,OTHER,Q-PAP,100MG/ML,"$504,101 ","$1,249,895 ","$1,586,468 ","$876,859 ","$884,111 ","$517,505 ","$125,702 "
ACETAMINOPHEN,O ORALS,OTHER,Q-PAP,160MG/5ML,"$651,662 ","$1,664,579 ","$2,037,855 ","$2,054,935 ","$2,360,018 ","$1,504,207 ","$391,542 "
ACETAMINOPHEN,O ORALS,OTHER,Q-PAP,325MG,"$57,261 ","$335,155 ","$427,711 ","$262,792 ","$299,287 ","$289,238 ","$64,984 "
ACETAMINOPHEN,O ORALS,OTHER,Q-PAP,500MG,"$183,781 ","$427,275 ","$390,681 ","$312,902 ","$557,863 ","$436,820 ","$104,916 "
ACETAMINOPHEN,O ORALS,OTHER,SILAPAP,100MG/ML,"$124,707 ","$414,149 ","$345,545 ","$361,774 ","$528,431 ","$424,581 ","$97,786 "
ACETAMINOPHEN,O ORALS,OTHER,SILAPAP,160MG/5ML,"$165,683 ","$323,513 ","$329,977 ","$361,094 ","$375,860 ","$352,959 ","$100,020 "
ACETAMINOPHEN,O ORALS,OTHER,TRIAMINIC FEVER,160MG/5ML,,"$2,952,459 ","$3,193,290 ","$273,292 ",$362 ,$390 ,$165 
ACETAMINOPHEN,O ORALS,OTHER,TRIAMINIC FEVER,80MG/0.8ML,$34 ,"$574,708 ","$1,271,421 ","$15,156 ",,,
ACETAMINOPHEN,O ORALS,OTHER,TYLENOL 8 HOUR,650MG,"$12,390,181 ","$1,975,435 ",,,,,
ACETAMINOPHEN,O ORALS,OTHER,TYLENOL ARTHRITIS,650MG,"$31,354,347 ","$28,382,817 ","$16,641,363 ","$7,244,233 ","$2,614,515 ","$528,906 ",
ACETAMINOPHEN,O ORALS,OTHER,TYLENOL CHILDRENS,160MG/5ML,"$20,350,057 ","$15,237,645 ","$20,231,227 ","$31,446,586 ","$35,300,502 ","$29,784,642 ","$8,552,148 "
ACETAMINOPHEN,O ORALS,OTHER,TYLENOL CHILDRENS,80MG,"$2,359,833 ","$4,345,267 ","$1,681,015 ","$1,238,022 ","$183,019 ",,
ACETAMINOPHEN,O ORALS,OTHER,TYLENOL EXTRA STRG,167MG/5ML,"$2,764,395 ","$4,820,471 ","$1,999,351 ",$543 ,,,
ACETAMINOPHEN,O ORALS,OTHER,TYLENOL EXTRA STRG,500MG,"$133,210,029 ","$152,948,575 ","$99,165,751 ","$62,170,992 ","$109,896,028 ","$137,786,569 ","$35,795,245 "
ACETAMINOPHEN,O ORALS,OTHER,TYLENOL INFANT,100MG/ML,"$20,891,370 ","$8,778,388 ","$3,434 ","$941,693 ","$3,741,663 ","$12,542,750 ","$5,442,660 "
ACETAMINOPHEN,O ORALS,OTHER,TYLENOL INFANT,160MG/5ML,,,"$2,604 ","$20,490 ","$13,279 ","$866,075 ","$281,989 "
ACETAMINOPHEN,O ORALS,OTHER,TYLENOL JUNIOR,160MG,"$5,147,440 ","$9,498,936 ","$2,343,039 ","$2,260,178 ",,,
ACETAMINOPHEN,O ORALS,OTHER,TYLENOL REGULAR,RG-STR 325MG,"$6,741,590 ","$10,502,594 ","$8,115,203 ","$18,619,050 ","$17,321,534 ","$24,030,735 ","$11,697,969 "
ACETAMINOPHEN,O ORALS,OTHER,TYLENOL SORE THROAT,167MG/5ML,"$2,026,940 ","$3,591,520 ","$2,163,742 ","$4,934,937 ","$4,821,619 ","$3,266,662 ","$868,801 "
ACETAMINOPHEN,O ORALS,OTHER,VICKS 44 CC BDY ACH,650MG/15ML,"$66,321 ","$17,317 ",,,,,
ACETAMINOPHEN,"R RECTALS,SYST",OTHER,ACEPHEN,120MG,,,,,,$61 ,$34 
ACETAMINOPHEN,"R RECTALS,SYST",OTHER,ACETAMINOPHEN,120MG,"$264,077 ","$779,302 ","$1,037,939 ","$987,020 ","$1,126,683 ","$949,090 ","$295,485 "
ACETAMINOPHEN,"R RECTALS,SYST",OTHER,ACETAMINOPHEN,325MG,"$152,880 ","$487,615 ","$672,901 ","$616,598 ","$572,927 ","$524,049 ","$140,604 "
ACETAMINOPHEN,"R RECTALS,SYST",OTHER,ACETAMINOPHEN,650MG,"$459,774 ","$1,918,730 ","$2,413,144 ","$2,121,866 ","$1,849,328 ","$1,604,519 ","$416,645 "
ACETAMINOPHEN,"R RECTALS,SYST",OTHER,FEVERALL ADULT,325MG,"$1,029 ","$5,201 ","$5,610 ","$7,587 ","$11,300 ","$6,399 ",$422 
ACETAMINOPHEN,"R RECTALS,SYST",OTHER,FEVERALL ADULT,650MG,"$1,162 ","$4,742 ","$8,825 ","$12,031 ","$10,770 ","$9,049 ","$1,503 "
ACETAMINOPHEN,"R RECTALS,SYST",OTHER,FEVERALL CHILDRENS,120MG,"$72,418 ","$96,895 ","$226,173 ","$150,541 ","$318,377 ","$489,180 ","$166,133 "
ACETAMINOPHEN,"R RECTALS,SYST",OTHER,FEVERALL INFANTS,80MG,"$24,609 ","$333,645 ","$713,082 ","$1,171,367 ","$1,798,701 ","$1,779,203 ","$632,337 "
ACETAMINOPHEN,"R RECTALS,SYST",OTHER,FEVERALL JUNIOR,325MG,"$70,531 ","$120,988 ","$83,325 ","$62,998 ","$76,144 ","$26,055 ","$10,652 "
ACETAMINOPHEN,Y ALL OTHERS,OTHER,ACETAMINOPHEN,N/A,,,,$181 ,"$3,275 ","$3,174 ","$1,018 "
ACETAMINOPHEN,Y ALL OTHERS,GENERIC,ACETAMINOPHEN,N/A,,,,$179 ,$219 ,$387 ,$168 
ACETAMINOPHEN!ACETYLSALICYLIC ACID,O ORALS,OTHER,EXCEDRIN BACK&BODY,250-250MG,"$2,326,416 ","$4,404,126 ","$4,743,369 ","$93,534 ",$197 ,,
ACETAMINOPHEN!ACETYLSALICYLIC ACID,O ORALS,OTHER,GOODYS BODY PAIN,500-325MG,"$334,707 ","$541,569 ","$1,250,513 ","$1,098,288 ","$442,456 ","$6,770 ","$1,763 "
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,ANACIN ADVANCED,250-250-65MG,"$9,612 ","$18,536 ",$142 ,,,,
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,ASA/APAP/CAF,250-250-65MG,"$1,988,464 ","$4,029,368 ","$4,062,533 ","$19,179,782 ","$10,146,938 ","$8,490,721 ","$2,203,405 "
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,BAYER MIGRAINE,250-250-65MG,,,,"$942,975 ","$1,295,223 ","$324,702 ",$52 
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,EXCEDRIN EX STR,250-250-65MG,"$31,646,060 ","$49,431,185 ","$47,691,775 ","$1,278,497 ","$21,943,970 ","$22,751,017 ","$6,260,643 "
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,EXCEDRIN MENSTRUAL,250-250-65MG,"$469,822 ","$1,881,807 ","$1,649,977 ","$42,439 ",,,
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,EXCEDRIN MIGRAINE,250-250-65MG,"$22,201,510 ","$37,837,263 ","$38,241,237 ","$12,408,063 ","$37,925,627 ","$31,454,355 ","$8,835,743 "
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,GOODYS,250-250-65MG,,,,,"$1,590 ","$1,796 ",$460 
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,GOODYS,260-520-32.5MG,"$234,463 ","$524,899 ","$900,439 ","$605,638 ","$3,674,976 ","$3,180,392 ","$790,534 "
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,GOODYS,500-325-65MG,"$88,428 ","$254,347 ","$254,714 ","$659,847 ","$740,058 ","$804,087 ","$231,282 "
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,GOODYS MIGRAINE,250-250-65MG,,,,,$860 ,$82 ,
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,MIGRAINE,250-250-65MG,"$214,771 ","$412,894 ","$540,386 ","$197,454 ","$73,936 ","$3,097 ",$15 
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,PAIN OFF,250-250-65MG,,,,$38 ,$962 ,$930 ,$201 
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,PAIN RELIEVER PLUS,250-250-65MG,"$6,400 ","$19,769 ","$43,108 ","$218,342 ","$169,824 ","$288,910 ","$85,712 "
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE,O ORALS,OTHER,VANQUISH,227-194-33MG,"$895,163 ","$843,415 ","$758,493 ","$2,565,361 ","$1,094,544 ","$485,365 ","$144,365 "
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE!SALICYLAMIDE,O ORALS,OTHER,BACK PAIN-OFF,N/A,,,,,,$811 ,$253 
ACETAMINOPHEN!ACETYLSALICYLIC ACID!CAFFEINE!SALICYLAMIDE,O ORALS,BRAND,LEVACET,250-500-150-32.5MG,"$145,245 ","$268,979 ","$76,247 ",$126 ,,,
ACETAMINOPHEN!ASCORBIC ACID!DEXTROMETHORPHAN!DOXYLAMINE,O ORALS,OTHER,NYQUIL PLUS VIT C,325-15-6.25MG,"$1,224,626 ","$2,348,193 ","$890,165 ",$68 ,,,
ACETAMINOPHEN!ASCORBIC ACID!DEXTROMETHORPHAN!DOXYLAMINE!PHENYLEPHRINE,S OTHER SYSTEMICS,OTHER,DAYQUIL/NYQUIL PLS C,N/A,"$2,393,936 ","$5,020,690 ","$1,220,116 ",$605 ,,,
ACETAMINOPHEN!ASCORBIC ACID!DEXTROMETHORPHAN!PHENYLEPHRINE,O ORALS,OTHER,DAYQUIL PLUS VIT C,325-10-5MG,"$2,104,025 ","$3,600,299 ","$950,615 ",$10 ,,,
ACETAMINOPHEN!ATROPINE!PHENYLEPHRINE,O ORALS,OTHER,COLDONYL,N/A,"$25,287 ","$49,287 ","$55,267 ","$49,698 ","$51,191 ","$45,936 ","$10,036 "
ACETAMINOPHEN!BROMPHENIRAMINE,O ORALS,OTHER,STAFLEX (OTC),250-2MG,,,,,,$131 ,"$1,498 "
ACETAMINOPHEN!BROMPHENIRAMINE!DIPHENHYDRAMINE!PSEUDOEPHEDRINE,O ORALS,OTHER,DIMETAPP FLU CHILD,5-15-160-1MG/5ML,$4 ,,,,,,
ACETAMINOPHEN!BUTALBITAL,O ORALS,BRANDED GENERIC,BUPAP,300-50MG,,,,,"$4,878,909 ","$13,336,596 ","$5,951,550 "
ACETAMINOPHEN!BUTALBITAL,O ORALS,BRANDED GENERIC,BUPAP,650-50MG,"$403,948 ","$928,618 ","$2,681,921 ","$6,192,698 ","$5,793,207 ","$2,801 ",$86 
ACETAMINOPHEN!BUTALBITAL,O ORALS,BRANDED GENERIC,CEPHADYN,650-50MG,"$1,014,915 ","$1,985,143 ","$1,268,069 ","$1,842 ",$220 ,,
ACETAMINOPHEN!BUTALBITAL,O ORALS,BRANDED GENERIC,MARTEN-TAB,325-50MG,"$15,002 ","$29,785 ","$7,514 ","$2,756 ",$64 ,,
ACETAMINOPHEN!BUTALBITAL,O ORALS,BRANDED GENERIC,ORBIVAN CF,50MG-300MG,,,,"$29,419 ","$45,975 ",,
ACETAMINOPHEN!BUTALBITAL,O ORALS,BRANDED GENERIC,PHRENILIN,325-50MG,"$166,125 ","$174,472 ","$1,916 ",,$146 ,,
ACETAMINOPHEN!BUTALBITAL,O ORALS,BRANDED GENERIC,PHRENILIN FORTE,650-50MG,"$1,894,803 ","$3,698,015 ","$3,637,647 ","$3,682,864 ","$6,670,343 ","$926,540 ",
ACETAMINOPHEN!BUTALBITAL,O ORALS,BRANDED GENERIC,SEDAPAP,650-50MG,"$40,866 ","$65,539 ","$72,602 ","$66,059 ",,,
ACETAMINOPHEN!BUTALBITAL,O ORALS,GENERIC,BUTALB/APAP,325-50MG,"$488,114 ","$1,342,239 ","$1,615,450 ","$1,524,082 ","$1,638,745 ","$5,375,306 ","$1,281,761 "
ACETAMINOPHEN!BUTALBITAL!CAFFEINE,O ORALS,BRANDED GENERIC,ALAGESIC,325-40-50MG,,$178 ,$174 ,,,,
ACETAMINOPHEN!BUTALBITAL!CAFFEINE,O ORALS,BRANDED GENERIC,ALAGESIC LQ,50-325-40MG/15ML,"$11,416 ","$90,370 ","$62,254 ","$55,223 ","$39,797 ","$1,157 ",
ACETAMINOPHEN!BUTALBITAL!CAFFEINE,O ORALS,BRANDED GENERIC,ANOLOR 300,325-40-50MG,"$9,793 ",$541 ,$70 ,$116 ,,$69 ,
ACETAMINOPHEN!BUTALBITAL!CAFFEINE,O ORALS,BRANDED GENERIC,CAPACET,50-325-40,,,"$4,336 ","$19,708 ","$35,261 ","$181,272 ","$104,289 "
ACETAMINOPHEN!BUTALBITAL!CAFFEINE,O ORALS,BRANDED GENERIC,DOLGIC PLUS,750-40-50MG,"$2,059,396 ","$4,895,150 ","$5,218,699 ","$3,719,249 ","$2,792,610 ","$174,535 ",$299 
ACETAMINOPHEN!BUTALBITAL!CAFFEINE,O ORALS,BRANDED GENERIC,ESGIC,325-40-50MG,"$454,953 ","$897,397 ","$822,339 ","$717,935 ","$899,444 ","$1,223,984 ","$341,252 "
